step,episode,reward,length
412743,434,-20.000000,963
413503,435,-21.000000,760
414540,436,-19.000000,1037
415698,437,-21.000000,1158
416980,438,-20.000000,1282
417784,439,-21.000000,804
418662,440,-21.000000,878
419956,441,-19.000000,1294
420857,442,-21.000000,901
421946,443,-19.000000,1089
423062,444,-21.000000,1116
423946,445,-21.000000,884
424869,446,-21.000000,923
425767,447,-21.000000,898
426637,448,-21.000000,870
427627,449,-21.000000,990
428764,450,-20.000000,1137
429984,451,-17.000000,1220
430833,452,-21.000000,849
431884,453,-21.000000,1051
433276,454,-18.000000,1392
434291,455,-21.000000,1015
435532,456,-20.000000,1241
436682,457,-19.000000,1150
437862,458,-17.000000,1180
438965,459,-19.000000,1103
440030,460,-20.000000,1065
441185,461,-19.000000,1155
442365,462,-18.000000,1180
443925,463,-17.000000,1560
444972,464,-21.000000,1047
445944,465,-19.000000,972
447169,466,-19.000000,1225
448265,467,-20.000000,1096
449400,468,-18.000000,1135
450636,469,-20.000000,1236
451757,470,-19.000000,1121
453156,471,-18.000000,1399
454774,472,-17.000000,1618
455908,473,-20.000000,1134
457122,474,-19.000000,1214
458090,475,-21.000000,968
459264,476,-20.000000,1174
460451,477,-20.000000,1187
461562,478,-19.000000,1111
462871,479,-19.000000,1309
463925,480,-21.000000,1054
465179,481,-19.000000,1254
466439,482,-20.000000,1260
467530,483,-20.000000,1091
468435,484,-21.000000,905
469659,485,-19.000000,1224
471020,486,-18.000000,1361
471873,487,-21.000000,853
472859,488,-21.000000,986
474203,489,-18.000000,1344
475292,490,-20.000000,1089
476303,491,-20.000000,1011
477561,492,-19.000000,1258
478397,493,-21.000000,836
479668,494,-19.000000,1271
480857,495,-20.000000,1189
482010,496,-20.000000,1153
482966,497,-20.000000,956
484058,498,-19.000000,1092
485230,499,-19.000000,1172
486482,500,-18.000000,1252
487711,501,-20.000000,1229
488966,502,-19.000000,1255
490442,503,-17.000000,1476
491386,504,-21.000000,944
492950,505,-18.000000,1564
493917,506,-21.000000,967
495226,507,-18.000000,1309
496941,508,-18.000000,1715
498051,509,-19.000000,1110
498979,510,-21.000000,928
500081,511,-19.000000,1102
501592,512,-16.000000,1511
502691,513,-19.000000,1099
504002,514,-19.000000,1311
505306,515,-17.000000,1304
506321,516,-21.000000,1015
507609,517,-17.000000,1288
508814,518,-17.000000,1205
510097,519,-19.000000,1283
511787,520,-14.000000,1690
513377,521,-19.000000,1590
514534,522,-20.000000,1157
515431,523,-20.000000,897
516592,524,-21.000000,1161
518010,525,-17.000000,1418
519096,526,-20.000000,1086
520261,527,-21.000000,1165
521539,528,-20.000000,1278
522688,529,-20.000000,1149
523717,530,-20.000000,1029
525297,531,-17.000000,1580
526353,532,-21.000000,1056
527527,533,-20.000000,1174
528472,534,-21.000000,945
529614,535,-18.000000,1142
530861,536,-19.000000,1247
532076,537,-20.000000,1215
533449,538,-20.000000,1373
534802,539,-17.000000,1353
536024,540,-19.000000,1222
537523,541,-17.000000,1499
538666,542,-18.000000,1143
539891,543,-21.000000,1225
541023,544,-21.000000,1132
542316,545,-19.000000,1293
543711,546,-17.000000,1395
544906,547,-19.000000,1195
546027,548,-20.000000,1121
547202,549,-20.000000,1175
548614,550,-20.000000,1412
550214,551,-18.000000,1600
551458,552,-20.000000,1244
552659,553,-20.000000,1201
553822,554,-20.000000,1163
555139,555,-18.000000,1317
556540,556,-19.000000,1401
558017,557,-18.000000,1477
559426,558,-20.000000,1409
561118,559,-17.000000,1692
562482,560,-20.000000,1364
563587,561,-19.000000,1105
565053,562,-18.000000,1466
566128,563,-20.000000,1075
567615,564,-18.000000,1487
569076,565,-19.000000,1461
570668,566,-17.000000,1592
572147,567,-19.000000,1479
573651,568,-18.000000,1504
575010,569,-19.000000,1359
576500,570,-18.000000,1490
578070,571,-15.000000,1570
579758,572,-15.000000,1688
581633,573,-15.000000,1875
583098,574,-18.000000,1465
584619,575,-19.000000,1521
586283,576,-18.000000,1664
587689,577,-21.000000,1406
589042,578,-19.000000,1353
590333,579,-19.000000,1291
591776,580,-21.000000,1443
593361,581,-18.000000,1585
594701,582,-20.000000,1340
595958,583,-19.000000,1257
597541,584,-17.000000,1583
599014,585,-17.000000,1473
601117,586,-15.000000,2103
602426,587,-20.000000,1309
603871,588,-19.000000,1445
605184,589,-21.000000,1313
606244,590,-21.000000,1060
607762,591,-19.000000,1518
609071,592,-19.000000,1309
610761,593,-16.000000,1690
611944,594,-20.000000,1183
613381,595,-18.000000,1437
614497,596,-20.000000,1116
616344,597,-19.000000,1847
617895,598,-20.000000,1551
619440,599,-20.000000,1545
621222,600,-18.000000,1782
622851,601,-16.000000,1629
624165,602,-17.000000,1314
625467,603,-19.000000,1302
627393,604,-17.000000,1926
628888,605,-19.000000,1495
630641,606,-17.000000,1753
632138,607,-18.000000,1497
633674,608,-18.000000,1536
635210,609,-18.000000,1536
636825,610,-17.000000,1615
638259,611,-18.000000,1434
639537,612,-19.000000,1278
641063,613,-18.000000,1526
642551,614,-21.000000,1488
644071,615,-16.000000,1520
645515,616,-17.000000,1444
647291,617,-15.000000,1776
648894,618,-17.000000,1603
650595,619,-19.000000,1701
652326,620,-16.000000,1731
653478,621,-21.000000,1152
655611,622,-17.000000,2133
657386,623,-18.000000,1775
659126,624,-16.000000,1740
660520,625,-19.000000,1394
662538,626,-13.000000,2018
664322,627,-17.000000,1784
665936,628,-17.000000,1614
667799,629,-15.000000,1863
669230,630,-18.000000,1431
671761,631,-11.000000,2531
672984,632,-20.000000,1223
674864,633,-17.000000,1880
676760,634,-16.000000,1896
678536,635,-17.000000,1776
680655,636,-12.000000,2119
682623,637,-16.000000,1968
684476,638,-18.000000,1853
686234,639,-17.000000,1758
687959,640,-18.000000,1725
689588,641,-19.000000,1629
691096,642,-19.000000,1508
692990,643,-17.000000,1894
694813,644,-12.000000,1823
697056,645,-12.000000,2243
699067,646,-14.000000,2011
700599,647,-18.000000,1532
702278,648,-16.000000,1679
704055,649,-15.000000,1777
705977,650,-17.000000,1922
707641,651,-21.000000,1664
709692,652,-16.000000,2051
711981,653,-13.000000,2289
713680,654,-19.000000,1699
715571,655,-18.000000,1891
718416,656,-13.000000,2845
720478,657,-17.000000,2062
722428,658,-17.000000,1950
724425,659,-18.000000,1997
726631,660,-17.000000,2206
728694,661,-17.000000,2063
730517,662,-20.000000,1823
732243,663,-18.000000,1726
734517,664,-15.000000,2274
736424,665,-16.000000,1907
738382,666,-16.000000,1958
740765,667,-17.000000,2383
742763,668,-18.000000,1998
744842,669,-18.000000,2079
746722,670,-18.000000,1880
748645,671,-19.000000,1923
750602,672,-17.000000,1957
753020,673,-14.000000,2418
755754,674,-14.000000,2734
757865,675,-18.000000,2111
759954,676,-16.000000,2089
761867,677,-18.000000,1913
763283,678,-21.000000,1416
765704,679,-15.000000,2421
767801,680,-16.000000,2097
769911,681,-15.000000,2110
771728,682,-18.000000,1817
773647,683,-16.000000,1919
775676,684,-17.000000,2029
777936,685,-13.000000,2260
779799,686,-19.000000,1863
781705,687,-18.000000,1906
783981,688,-12.000000,2276
786560,689,-15.000000,2579
788711,690,-19.000000,2151
791321,691,-14.000000,2610
793824,692,-12.000000,2503
796073,693,-16.000000,2249
798378,694,-9.000000,2305
800176,695,-17.000000,1798
802483,696,-16.000000,2307
804560,697,-16.000000,2077
806841,698,-12.000000,2281
809141,699,-15.000000,2300
811109,700,-14.000000,1968
812787,701,-19.000000,1678
815041,702,-15.000000,2254
817010,703,-16.000000,1969
819371,704,-17.000000,2361
821531,705,-13.000000,2160
823989,706,-13.000000,2458
826159,707,-17.000000,2170
828435,708,-13.000000,2276
830641,709,-17.000000,2206
832788,710,-15.000000,2147
834639,711,-19.000000,1851
836205,712,-20.000000,1566
838660,713,-16.000000,2455
840554,714,-14.000000,1894
843022,715,-15.000000,2468
846140,716,-14.000000,3118
848650,717,-11.000000,2510
851494,718,-9.000000,2844
854087,719,-15.000000,2593
856004,720,-19.000000,1917
857999,721,-19.000000,1995
859967,722,-16.000000,1968
862366,723,-19.000000,2399
863680,724,-20.000000,1314
866843,725,-13.000000,3163
869409,726,-15.000000,2566
871829,727,-15.000000,2420
873795,728,-19.000000,1966
876340,729,-13.000000,2545
878707,730,-20.000000,2367
880747,731,-14.000000,2040
882947,732,-14.000000,2200
885063,733,-16.000000,2116
888512,734,-11.000000,3449
891269,735,-14.000000,2757
893669,736,-12.000000,2400
896087,737,-17.000000,2418
897988,738,-18.000000,1901
900157,739,-13.000000,2169
901694,740,-20.000000,1537
904246,741,-13.000000,2552
907274,742,-6.000000,3028
909333,743,-18.000000,2059
911497,744,-13.000000,2164
914890,745,-8.000000,3393
916913,746,-16.000000,2023
919469,747,-13.000000,2556
921997,748,-13.000000,2528
924384,749,-13.000000,2387
926557,750,-16.000000,2173
929585,751,-14.000000,3028
932024,752,-14.000000,2439
934727,753,-15.000000,2703
937056,754,-16.000000,2329
939124,755,-17.000000,2068
942460,756,-12.000000,3336
945286,757,-12.000000,2826
947480,758,-16.000000,2194
950309,759,-9.000000,2829
953074,760,-16.000000,2765
956689,761,-11.000000,3615
959332,762,-8.000000,2643
961905,763,-13.000000,2573
964446,764,-12.000000,2541
966436,765,-17.000000,1990
969352,766,-11.000000,2916
971829,767,-14.000000,2477
973578,768,-17.000000,1749
975401,769,-17.000000,1823
978607,770,-7.000000,3206
980543,771,-16.000000,1936
983717,772,-6.000000,3174
985826,773,-13.000000,2109
987693,774,-17.000000,1867
989771,775,-14.000000,2078
992023,776,-13.000000,2252
994419,777,-14.000000,2396
996078,778,-17.000000,1659
997940,779,-18.000000,1862
999921,780,-17.000000,1981
1001914,781,-15.000000,1993
1004272,782,-10.000000,2358
1006642,783,-14.000000,2370
1008888,784,-16.000000,2246
1011341,785,-14.000000,2453
1013193,786,-15.000000,1852
1015702,787,-17.000000,2509
1017841,788,-17.000000,2139
1019924,789,-15.000000,2083
1022178,790,-13.000000,2254
1024651,791,-12.000000,2473
1027648,792,-10.000000,2997
1029375,793,-18.000000,1727
1031899,794,-11.000000,2524
1035482,795,-6.000000,3583
1038019,796,-11.000000,2537
1040740,797,-11.000000,2721
1043878,798,-7.000000,3138
1046522,799,-15.000000,2644
1049192,800,-15.000000,2670
1050977,801,-15.000000,1785
1053249,802,-11.000000,2272
1055826,803,-13.000000,2577
1058536,804,-14.000000,2710
1060402,805,-17.000000,1866
1062893,806,-9.000000,2491
1065795,807,-7.000000,2902
1068365,808,-12.000000,2570
1071013,809,-9.000000,2648
1073512,810,-15.000000,2499
1076848,811,-6.000000,3336
